id,nome,empresa,arquetipo,status,url,tag,commit_sha,data_commit,branch_principal,snapshot_type,subconjunto
google-google-java-format-15,google-java-format,Google,google,ativo,https://github.com/google/google-java-format,HEAD-on-master-2026-05-24,d964ff11e78d191c6d99c27115f61bd75ef5267d,2026-05-19,master,head-of-main,n30-v1.6
google-copybara-19,copybara,Google,google,ativo,https://github.com/google/copybara,HEAD-on-master-2026-05-24,5a896d46c87151828ff726bb28ba1d54b7cf3bd2,2026-05-21,master,head-of-main,n30-v1.6
google-jimfs-20,jimfs,Google,google,ativo,https://github.com/google/jimfs,HEAD-on-master-2026-05-24,31618bf10cddeee7a3e5c2a75ead32e045724876,2026-05-08,master,head-of-main,n30-v1.6
netflix-hystrix-07,Hystrix,Netflix,descentralizado,ativo,https://github.com/Netflix/Hystrix,HEAD-on-master-2026-05-24,5ce3bc58c38e7ca60ef2fe0e516e390e294ad941,2025-12-16,master,head-of-main,n30-v1.6
netflix-zuul-08,zuul,Netflix,descentralizado,ativo,https://github.com/Netflix/zuul,HEAD-on-master-2026-05-24,05d52953a66a922ab573e35093e8457488949f60,2026-05-20,master,head-of-main,n30-v1.6
netflix-ribbon-09,ribbon,Netflix,descentralizado,ativo,https://github.com/Netflix/ribbon,HEAD-on-master-2026-05-24,2a55b5da9749cd416350193b0ea739d7cd6b2a2e,2025-12-16,master,head-of-main,n30-v1.6
netflix-archaius-11,archaius,Netflix,descentralizado,ativo,https://github.com/Netflix/archaius,HEAD-on-2.x-2026-05-24,8629b765ca44fa8cf6b229b050621126df26d04f,2025-12-16,2.x,head-of-main,n30-v1.6
netflix-genie-12,genie,Netflix,descentralizado,ativo,https://github.com/Netflix/genie,HEAD-on-master-2026-05-24,81f36f93b02fe47ee78493039fc1a8dd8c3154eb,2025-08-05,master,head-of-main,n30-v1.6
linkedin-dexmaker-04,dexmaker,LinkedIn,descentralizado,ativo,https://github.com/linkedin/dexmaker,HEAD-on-main-2026-05-24,ff8bb50e840e9d25858690f3d5b1c7cc48fb4c46,2026-04-27,main,head-of-main,n30-v1.6
linkedin-parseq-05,parseq,LinkedIn,descentralizado,ativo,https://github.com/linkedin/parseq,HEAD-on-master-2026-05-24,bbf8e7133b2c13aab08f1b08e03cba0fb37fb582,2025-07-28,master,head-of-main,n30-v1.6
uber-autodispose-06,AutoDispose,Uber,descentralizado,ativo,https://github.com/uber/AutoDispose,HEAD-on-main-2026-05-24,0c5b35e0154f4242f27ec2f65b5f1677187aea69,2026-05-14,main,head-of-main,n30-v1.6
uber-okbuck-07,okbuck,Uber,descentralizado,ativo,https://github.com/uber/okbuck,HEAD-on-master-2026-05-24,87682cd5c70f584f94afef0206780cfe4325002d,2026-03-28,master,head-of-main,n30-v1.6
apache-incubator-seata-18,incubator-seata,Apache,apache,ativo,https://github.com/apache/incubator-seata,HEAD-on-2.x-2026-05-24,f453b470964243e6c136677c62b4a4333fc40b17,2026-05-27,2.x,head-of-main,n30-v1.6
apache-shenyu-19,shenyu,Apache,apache,ativo,https://github.com/apache/shenyu,HEAD-on-master-2026-05-24,73a4a06811e3ed1325a7e1af91a2247b12ee2b8b,2026-05-16,master,head-of-main,n30-v1.6
google-java-docs-samples-16,java-docs-samples,Google,google,ativo,https://github.com/GoogleCloudPlatform/java-docs-samples,HEAD-on-main-2026-05-24,48c7d607c10f64270c88faf831af25676420899c,2026-05-26,main,head-of-main,n30-v1.6
google-flogger-17,flogger,Google,google,ativo,https://github.com/google/flogger,HEAD-on-master-2026-05-24,b5367138a5e29589596c56b895c8633fbef4e372,2026-05-01,master,head-of-main,n30-v1.6
google-j2cl-18,j2cl,Google,google,ativo,https://github.com/google/j2cl,HEAD-on-master-2026-05-24,a1d593a18677ffb744ccd68f99b325aecfda495b,2026-05-28,master,head-of-main,n30-v1.6
google-dataflow-templates-21,dataflow-templates,Google,google,ativo,https://github.com/GoogleCloudPlatform/DataflowTemplates,HEAD-on-main-2026-05-24,7424bd6c4c1603d88a80fc8343081d3c4e3f9a86,2026-05-27,main,head-of-main,n30-v1.6
netflix-priam-10,Priam,Netflix,descentralizado,ativo,https://github.com/Netflix/Priam,HEAD-on-4.x-2026-05-24,43f0d9726c21797d1111e2b43a02d5a3a978b120,2026-02-03,4.x,head-of-main,n30-v1.6
